,config_1_opportunistic,config_1_flexible,config_2_opportunistic,config_2_flexible,config_3_opportunistic,config_3_flexible
Charging point info,10 CPs (1.30 kW),10 CPs (2.40 kW),3 CPs (2.40 kW),3 CPs (2.40 kW),3 CPs (2.40 kW),3 CPs (2.40 kW)
Investment cost,"$2,000.00","$2,000.00",$600.00,$600.00,$600.00,$600.00
Peak demand increase,0.00%,0.00%,0.00%,0.00%,0.00%,0.00%
PAPR,2.44,2.44,2.44,2.44,2.44,2.44
Average SOC at dep time,76.54%,74.28%,73.53%,72.28%,69.77%,69.28%
Lowest SOC at dep time,33.55%,22.81%,24.01%,24.64%,24.64%,26.58%
SOC min-max range,66.45%,77.19%,75.99%,75.36%,75.36%,73.42%
Average num of charging days,6.10,3.40,4.30,3.50,4.20,3.50
Optimality gap,0.9958%,0.7317%,2.6589%,2.9823%,4.1552%,3.8800%
Economic objective,421.63,421.62,276.21,276.21,276.18,276.21
Technical objective,167.58,170.78,181.68,183.02,188.56,186.18
Social objective,"1,260.59","1,479.32","1,513.39","1,563.60","1,625.44","1,619.92"
